CUST_KEY,JOBPARTCHARGE,JOBLABOURCHARGE,MODEL_NEW,YEAR,AVG_MILE
11323-WMWRE33526TN26510,387.83500000000004,124.2475,COOPER S 6SPD,2006,3959.8571428571427
11325-5QKVP13555LY16646,262.8666666666667,97.75999999999999,X5,2005,12953.601851851852
11326-5QKZV4S57D0E03469,177.85250000000002,113.27000000000001,X5,2013,14133.308095238095
11326-WEKPS93497WV02799,15.526666666666666,79.48333333333333,X3,2007,16225.714285714284
11326-WESEL93476PN64479,176.9195238095238,183.63095238095238,3 SERIES E46,2006,9409.430158730158
11330-WEPDN63412GN86641,289.31,56.25,3 SERIES,2002,12778.333333333334
11351-WEPVE33586PZ87455,72.05363636363636,100.80454545454545,X5,2006,10310.765151515152
11360-WEPSE3329RVE15494,57.773,122.28,3 SERIES E36,1994,7617.33757437071
11366-WEPWS33579PS87853,53.63999999999999,70.2,328,2009,11326.5
11368-5QKVE83508L164164,29.91,20.85,X5,2008,17086.300000000003
11378-5QKKR0S53JL073187,66.9425,15.5,X5,2018,5904.25
11395-WEPVE33586KR73825,198.03500000000003,165.704,X5,2006,19437.53035714286
11398-WEPQS73538VV24993,6.56,88.65,135,2008,12110.25
11409-WEPSP6327RVK64558,115.16,273.375,3 SERIES E36,1994,8627.0
11416-WEPVE13536KK36163,98.05,207.38333333333333,325,2006,7340.604395604395
11426-4QSET53423LT21191,37.537499999999994,135.54625,Z4,2003,10988.75744047619
11430-WEP3E3G52VNT18138,25.0,27.75,328,2015,5622.0
11431-WEPVD53527P008150,104.5878947368421,153.7136842105263,335,2007,16325.658897243105
11432-WMWRH335K5TK55458,193.33466666666666,157.405,COOPER S CONVERT,2005,6262.204761904762
11436-WEPEV334K5KW16160,131.514375,176.074375,3 SERIES E46,2005,13530.050347222223
11436-WEPJE7S3KHG886767,148.11714285714285,73.43285714285715,540,2017,5370.833333333334
11436-WEPNV13588EZ48602,91.7862962962963,123.7537037037037,528,2008,13012.064153439154
11444-WEPEW534K3PN31540,65.91125,74.25625,330,2003,13066.890494227995
11458-WMWRE33516TL17453,161.89333333333335,122.06666666666666,COOPER S 6SPD,2006,10200.2
11461-WEPEV13475KL23773,15.61,68.95,3 SERIES E46,2005,13956.714285714286
11467-WEPDN53432GS98617,162.76818181818183,149.32242424242426,3 SERIES,2002,9008.047368792824
11476-5QKZV8S53DL899177,259.1714705882353,336.0779411764706,X5,2013,21885.525910364144
11481-WEPEV33434KL62757,75.05000000000001,81.30000000000001,3 SERIES E46,2004,12707.863756613757
11483-5QKVG43589L222185,23.2525,29.55,X6,2009,17480.416666666664
11490-WMWSS7S51EWN52286,32.769999999999996,33.04285714285714,COOPER S ALL4 PACEM,2014,7267.071428571428
